Sample,Type,Flow,d17O,d18O
UYFAR-7J-Ag,chalcedony,2,14.2436,27.3446
UYFAR-7cCOlada2,chalcedony,2,13.0138,24.9526
UYFAR-18-1Ag,chalcedony,2,14.8254,28.4596
UYFAR-18-0Ag,chalcedony,2,15.1808,29.1462
UYFAR-18-4Am,amethyst,2,14.3811,27.5931
UYFAR-7J-2Qtz,quartz,2,13.4297,25.7447
UYFAR-18-3Qtz,quartz,2,11.0535,21.1756
UYFAR-10B5Ag,chalcedony,3,14.3757,27.6054
UYFAR-11LColada3,chalcedony,3,15.8931,30.5280
UYFAR-10B-7AAm,amethyst,3,13.8905,26.6445
UYFAR-10B-7BQtz,quartz,3,13.9679,26.7709
UYFAR-10B-6Qtz,quartz,3,11.7905,22.5966
UYFAR-1A-1Ag,chalcedony,4,12.8056,24.5758
UYFAR-M1A,chalcedony,4,14.0183,26.8931
UYFAR-3A-1Am,amethyst,4,14.8812,28.5870
UYFAR-1A-4Qtz,quartz,4,12.2441,23.4555
UYFAR-1A-2Qtz,quartz,4,13.3297,25.5741
UYFAR-1C,amethyst,4,13.3099,25.5165
UYFAR-7C,amethyst,2,13.7450,26.3676
UYFAR-11P,amethyst,3,14.3683,27.5632
UYFAR-11C,amethyst,3,13.8647,26.6041
