ID,dateTimeMeasured,SampleName,pCO2Ref,pCO2Ref_error,pCO2Sam,pCO2Sam_error,PCellRef,PCellRef_error,PCellSam,PCellSam_error,TCell,TCell_error,d17O,d17OError,d18O,d18OError,Dp17O,Dp17OError,mrMismatch,measurementPeriod
14230,2023-01-16 01:47:37,lightVsRef,420.0,0.4,420.2,0.5,41.91,0.001,41.908,0.001,24.519,0.002,-0.593,0.005,-0.734,0.007,-205.7,4.8,-0.2,2023-01-16 to 2023-03-25
14268,2023-01-21 17:45:44,lightVsRef,415.7,0.3,415.6,0.5,42.414,0.001,42.412,0.001,24.521,0.002,-0.606,0.006,-0.754,0.006,-208.0,4.4,0.1,2023-01-16 to 2023-03-25
14270,2023-01-21 23:11:43,lightVsRef,415.4,0.3,415.4,0.5,42.438,0.002,42.437,0.002,24.52,0.002,-0.603,0.004,-0.744,0.004,-210.1,3.7,0.0,2023-01-16 to 2023-03-25
14272,2023-01-22 04:39:25,lightVsRef,415.4,0.3,415.5,0.5,42.449,0.002,42.446,0.002,24.518,0.002,-0.602,0.006,-0.739,0.004,-211.9,5.6,-0.1,2023-01-16 to 2023-03-25
14274,2023-01-22 10:06:42,lightVsRef,414.9,0.3,415.2,0.4,42.47,0.001,42.467,0.002,24.517,0.002,-0.611,0.005,-0.762,0.007,-209.0,2.0,-0.3,2023-01-16 to 2023-03-25
14276,2023-01-22 15:31:49,lightVsRef,414.9,0.3,415.1,0.4,42.461,0.001,42.457,0.002,24.518,0.002,-0.595,0.005,-0.739,0.005,-205.1,4.5,-0.2,2023-01-16 to 2023-03-25
14278,2023-01-22 20:57:53,lightVsRef,414.9,0.3,414.9,0.5,42.506,0.002,42.502,0.002,24.517,0.002,-0.615,0.008,-0.737,0.005,-225.6,5.8,0.0,2023-01-16 to 2023-03-25
14280,2023-01-23 02:25:04,lightVsRef,414.7,0.3,415.1,0.5,42.541,0.001,42.539,0.002,24.517,0.002,-0.606,0.006,-0.735,0.005,-217.4,4.1,-0.4,2023-01-16 to 2023-03-25
14282,2023-01-23 07:51:33,lightVsRef,415.0,0.3,414.9,0.5,42.569,0.002,42.566,0.002,24.517,0.002,-0.618,0.007,-0.738,0.003,-227.9,7.6,0.1,2023-01-16 to 2023-03-25
14284,2023-01-23 13:18:26,lightVsRef,414.6,0.3,414.8,0.5,42.582,0.001,42.578,0.002,24.52,0.002,-0.611,0.006,-0.746,0.003,-217.6,6.2,-0.2,2023-01-16 to 2023-03-25
14286,2023-01-23 18:45:07,lightVsRef,414.5,0.3,414.5,0.5,42.638,0.001,42.637,0.001,24.521,0.002,-0.586,0.014,-0.743,0.007,-193.4,11.0,0.0,2023-01-16 to 2023-03-25
