d17Ow,d18Ow,Dp17Ow,sum_distance,avg_temperature,min_temperature,max_temperature
-6.1957,-11.800000000000015,52.5,6.0603,19.6,11.0,25.0
-6.1952,-11.800000000000015,53.0,6.2804,19.3,11.0,25.0
-6.1947,-11.800000000000015,53.5,6.307,19.1,11.0,25.0
-6.1942,-11.800000000000015,54.0,6.3737,19.0,10.0,25.0
-6.0915,-11.600000000000016,50.5,6.4504,20.6,12.0,26.0
-6.09,-11.600000000000016,52.0,6.2086,20.0,11.0,26.0
-6.0895,-11.600000000000016,52.5,5.7086,19.6,11.0,25.0
-6.089,-11.600000000000016,53.0,5.7499,19.4,11.0,25.0
-6.0885,-11.600000000000016,53.5,5.8141,19.1,11.0,25.0
-6.088,-11.600000000000016,54.0,6.2492,19.0,10.0,25.0
-5.9858,-11.400000000000016,50.0,6.1829,21.0,12.0,27.0
-5.9853,-11.400000000000016,50.5,5.9447,20.7,12.0,27.0
-5.9848,-11.400000000000016,51.0,6.1824,20.4,12.0,26.0
-5.9843,-11.400000000000016,51.5,6.1674,20.1,12.0,26.0
-5.9838,-11.400000000000016,52.0,5.8267,20.0,11.0,26.0
-5.9833,-11.400000000000016,52.5,5.588,19.6,11.0,25.0
-5.9828,-11.400000000000016,53.0,5.3376,19.4,11.0,25.0
-5.9823,-11.400000000000016,53.5,5.5117,19.1,11.0,25.0
-5.9818,-11.400000000000016,54.0,6.319,19.0,10.0,25.0
-5.8816,-11.200000000000017,48.0,6.3454,22.0,13.0,28.0
-5.8811,-11.200000000000017,48.5,6.0007,21.7,13.0,28.0
-5.8806,-11.200000000000017,49.0,6.6925,21.4,13.0,27.0
-5.8801,-11.200000000000017,49.5,6.4371,21.0,12.0,27.0
-5.8796,-11.200000000000017,50.0,5.6375,21.0,12.0,27.0
-5.8791,-11.200000000000017,50.5,5.6829,20.7,12.0,27.0
-5.8786,-11.200000000000017,51.0,5.7268,20.4,12.0,26.0
-5.8781,-11.200000000000017,51.5,5.7116,20.1,12.0,26.0
-5.8776,-11.200000000000017,52.0,5.8118,20.0,11.0,26.0
-5.8771,-11.200000000000017,52.5,5.704,19.6,11.0,25.0
-5.8766,-11.200000000000017,53.0,5.1863,19.4,11.0,25.0
-5.8761,-11.200000000000017,53.5,5.4585,19.1,11.0,25.0
-5.8756,-11.200000000000017,54.0,6.5329,19.0,10.0,25.0
-5.7769,-11.000000000000018,46.5,6.3687,22.7,14.0,29.0
-5.7754,-11.000000000000018,48.0,5.7195,22.0,13.0,28.0
-5.7749,-11.000000000000018,48.5,5.6108,21.7,13.0,28.0
-5.7744,-11.000000000000018,49.0,6.1849,21.4,13.0,27.0
-5.7739,-11.000000000000018,49.5,5.957,21.0,12.0,27.0
-5.7734,-11.000000000000018,50.0,5.4254,21.0,12.0,27.0
-5.773,-11.000000000000018,50.5,5.6457,20.7,12.0,27.0
-5.7725,-11.000000000000018,51.0,5.5012,20.4,12.0,26.0
-5.772,-11.000000000000018,51.5,5.4323,20.1,12.0,26.0
-5.7715,-11.000000000000018,52.0,5.9412,20.0,11.0,26.0
-5.771,-11.000000000000018,52.5,6.0575,19.6,11.0,25.0
-5.7705,-11.000000000000018,53.0,5.517,19.4,11.0,25.0
-5.77,-11.000000000000018,53.5,5.7605,19.3,11.0,25.0
-5.6713,-10.800000000000018,46.0,6.0575,23.0,14.0,29.0
-5.6708,-10.800000000000018,46.5,5.7608,22.7,14.0,29.0
-5.6703,-10.800000000000018,47.0,6.5442,22.7,14.0,29.0
-5.6698,-10.800000000000018,47.5,6.2317,22.1,13.0,28.0
-5.6693,-10.800000000000018,48.0,5.315,22.0,13.0,28.0
-5.6688,-10.800000000000018,48.5,5.4465,21.7,13.0,28.0
-5.6683,-10.800000000000018,49.0,5.9098,21.4,13.0,27.0
-5.6678,-10.800000000000018,49.5,5.5948,21.1,12.0,27.0
-5.6673,-10.800000000000018,50.0,5.4168,21.0,12.0,27.0
-5.6668,-10.800000000000018,50.5,5.834,20.7,12.0,27.0
-5.6663,-10.800000000000018,51.0,5.6223,20.4,12.0,26.0
-5.6658,-10.800000000000018,51.5,5.4964,20.3,12.0,26.0
-5.6653,-10.800000000000018,52.0,6.2478,20.0,11.0,26.0
-5.6648,-10.800000000000018,52.5,6.6296,19.6,11.0,25.0
-5.6643,-10.800000000000018,53.0,6.2481,19.4,11.0,25.0
-5.6638,-10.800000000000018,53.5,6.4291,19.3,11.0,25.0
-5.5671,-10.60000000000002,44.0,6.6558,24.0,15.0,30.0
-5.5666,-10.60000000000002,44.5,6.0893,23.9,15.0,30.0
-5.5661,-10.60000000000002,45.0,6.5329,23.6,14.0,30.0
-5.5656,-10.60000000000002,45.5,6.6653,23.1,14.0,29.0
-5.5651,-10.60000000000002,46.0,5.5504,23.0,14.0,29.0
-5.5646,-10.60000000000002,46.5,5.3905,22.9,14.0,29.0
-5.5641,-10.60000000000002,47.0,6.103,22.7,14.0,29.0
